study	PMID	setting	approach	methodology	methodology_clean	academic_commercial	n	ctdna_pos	ctdna_neg	recurring	non_recurring	tp	fp	tn	fn	rec_rate_ctdna_pos	sensitivity	rec_rate_ctdna_neg	specificity	accuracy	titulo paper
Benhaim et al., 2021	34731746	Landmark	Agnostic	ddPCR (mutations or methylation)	Single-omic	Academic	171	18	153	29	142	8	10	132	21	0.4444444444	0.275862069	0.137254902	0.9295774648	0.8187134503	Circulating tumor DNA is a prognostic marker of tumor recurrence in stage II and III colorectal cancer: multicentric, prospective cohort study (ALGECOLS)
Chan et al., 2022	36776372	Landmark	Informed	panel	Panel	Academic	29	7	22	6	23	4	3	20	2	0.5714285714	0.6666666667	0.09090909091	0.8695652174	0.8275862069	Tumor-informed or tumor-agnostic circulating tumor DNA as a biomarker for risk of recurrence in resected colorectal cancer patients
Chan et al., 2022	36776372	Serial	Informed	panel	Panel	Academic	31	10	21	6	25	6	4	21	0	0.6	1	0	0.84	0.8709677419	Tumor-informed or tumor-agnostic circulating tumor DNA as a biomarker for risk of recurrence in resected colorectal cancer patients
Chen et al., 2021	34001194	Landmark	Informed	Geneseeq Prime → Bespoke	Panel	Academic	240	20	220	32	208	12	8	200	20	0.6	0.375	0.09090909091	0.9615384615	0.8833333333	Postoperative circulating tumor DNA as markers of recurrence risk in stages II to III colorectal cancer
Chen et al., 2021	34001194	Serial	Informed	Geneseeq Prime → Bespoke	Panel	Academic	125	25	100	23	102	19	6	96	4	0.76	0.8260869565	0.04	0.9411764706	0.92	Postoperative circulating tumor DNA as markers of recurrence risk in stages II to III colorectal cancer
Diergaarde et al., 2025	39865324	Landmark	Informed	WES → hybrid capture	Genome-wide	Academic	84	31	53	18	66	14	17	49	4	0.4516129032	0.7777777778	0.07547169811	0.7424242424	0.75	Circulating Tumor DNA as a Marker of Recurrence Risk in Stage III Colorectal Cancer: The α-CORRECT Study
Diergaarde et al., 2025	39865324	Serial	Informed	WES → hybrid capture	Genome-wide	Academic	108	43	65	22	86	20	23	63	2	0.4651162791	0.9090909091	0.03076923077	0.7325581395	0.7685185185	Circulating Tumor DNA as a Marker of Recurrence Risk in Stage III Colorectal Cancer: The α-CORRECT Study
Frydendahl et al., 2024A	39316995	Landmark	Informed	WGS → WGS	Genome-wide	Academic	111	19	92	28	83	13	6	77	15	0.6842105263	0.4642857143	0.1630434783	0.9277108434	0.8108108108	Detection of circulating tumor DNA by tumor-informed whole-genome sequencing enables prediction of recurrence in stage III colorectal cancer patients.
Frydendahl et al., 2024B	38673836	Landmark	Informed	UMIseq	Panel	Academic	26	5	21	9	17	3	2	15	6	0.6	0.3333333333	0.2857142857	0.8823529412	0.6923076923	Error-Corrected Deep Targeted Sequencing of Circulating Cell-Free DNA from Colorectal Cancer Patients for Sensitive Detection of Circulating Tumor DNA
Gao et al., 2023	36717891	Landmark	Informed	733 gene NGS panel --> 127 gene panel	Panel	Academic	108	17	91	28	80	13	4	76	15	0.7647058824	0.4642857143	0.1648351648	0.95	0.8240740741	Development and validation of postoperative circulating tumor DNA combined with clinicopathological risk factors for recurrence prediction in patients with stage I-III colorectal cancer
Henriksen et al., 2022	34625408	Landmark	Informed	Signatera	Genome-wide	Commercial	140	20	120	38	102	16	4	98	22	0.8	0.4210526316	0.1833333333	0.9607843137	0.8142857143	Circulating Tumor DNA in Stage III Colorectal Cancer, beyond Minimal Residual Disease Detection, toward Assessment of Adjuvant Therapy Efficacy and Clinical Behavior of Recurrences
Henriksen et al., 2022	34625408	Serial	Informed	Signatera	Genome-wide	Commercial	114	22	92	24	90	21	1	89	3	0.9545454545	0.875	0.03260869565	0.9888888889	0.9649122807	Circulating Tumor DNA in Stage III Colorectal Cancer, beyond Minimal Residual Disease Detection, toward Assessment of Adjuvant Therapy Efficacy and Clinical Behavior of Recurrences
Henriksen et al., 2024	37992872	Landmark	Informed	WES → ddPCR	Genome-wide	Academic	797	57	740	124	673	43	14	659	81	0.7543859649	0.3467741935	0.1094594595	0.9791976226	0.8808030113	Unraveling the potential clinical utility of circulating tumor DNA detection in colorectal cancer—evaluation in a nationwide Danish cohort.
Jin et al., 2021	33495330	Landmark	Agnostic	mqMSP & SEPT9 assay	Single-omic	Academic	73	21	52	20	53	11	10	43	9	0.5238095238	0.55	0.1730769231	0.8113207547	0.7397260274	Efficient detection and post-surgical monitoring of colon cancer with a multi-marker DNA methylation liquid biopsy
Jin et al., 2021	33495330	Serial	Agnostic	mqMSP & SEPT9 assay	Single-omic	Academic	19	9	10	7	12	6	3	9	1	0.6666666667	0.8571428571	0.1	0.75	0.7894736842	Efficient detection and post-surgical monitoring of colon cancer with a multi-marker DNA methylation liquid biopsy
Martín-Arana et al., 2025	40301653	Landmark	Agnostic	TAV16 	Single-omic	Academic	44	23	21	23	21	22	1	20	1	0.9565217391	0.9565217391	0.04761904762	0.9523809524	0.9545454545	Whole exome tumor-agnostic ctDNA analysis enhances minimal residual disease detection and reveals relapse mechanisms in localized colon cancer
Mo et al., 2023	37079312	Landmark	Agnostic	ColonAiQ	Single-omic	Commercial	255	59	196	50	205	39	20	185	11	0.6610169492	0.78	0.05612244898	0.9024390244	0.8784313725	Early Detection of Molecular Residual Disease and Risk Stratification for Stage I to III Colorectal Cancer via Circulating Tumor DNA Methylation
Musher et al., 2020	32958500	Landmark	Agnostic	Colvera (PCR methylat.)	Single-omic	Commercial	322	42	280	27	295	17	25	270	10	0.4047619048	0.6296296296	0.03571428571	0.9152542373	0.8913043478	Evaluation of Circulating Tumor DNA for Methylated BCAT1 and IKZF1 to Detect Recurrence of Stage II/Stage III Colorectal Cancer (CRC)
Nakamura et al., 2024	39284954	Landmark	Informed	WES → ddPCR	Genome-wide	Academic	2240	336	1904	496	1744	263	73	1671	233	0.7827380952	0.5302419355	0.1223739496	0.9581422018	0.8633928571	ctDNA-based molecular residual disease and survival in resectable colorectal cancer.
Nakamura et al., 2024A	39110016	Serial	Agnostic	Guardant Reveal	Multi-omic	Commercial	334	51	283	44	290	30	21	269	14	0.5882352941	0.6818181818	0.04946996466	0.9275862069	0.8952095808	Colorectal Cancer Recurrence Prediction Using a Tissue-Free Epigenomic Minimal Residual Disease Assay
Nakamura et al., 2024B	39513962	Landmark	Agnostic	xM assay (genomic & methyl)	Multi-omic	Commercial	69	26	43	36	33	22	4	29	14	0.8461538462	0.6111111111	0.3255813953	0.8787878788	0.7391304348	A Tumor-Naïve ctDNA Assay Detects Minimal Residual Disease in Resected Stage II or III Colorectal Cancer and Predicts Recurrence: Subset Analysis from the GALAXY Study in CIRCULATE-Japan
Nakamura et al., 2024B	39513962	Serial	Agnostic	xM assay (genomic & methyl)	Multi-omic	Commercial	74	34	40	36	38	30	4	34	6	0.8823529412	0.8333333333	0.15	0.8947368421	0.8648648649	A Tumor-Naïve ctDNA Assay Detects Minimal Residual Disease in Resected Stage II or III Colorectal Cancer and Predicts Recurrence: Subset Analysis from the GALAXY Study in CIRCULATE-Japan
Parikh et al., 2021	33926918	Landmark	Agnostic	Guardant Reveal	Multi-omic	Commercial	70	17	53	27	43	15	2	41	12	0.8823529412	0.5555555556	0.2264150943	0.9534883721	0.8	Minimal Residual Disease Detection using a Plasma-only Circulating Tumor DNA Assay in Patients with Colorectal Cancer.
Parikh et al., 2021	33926918	Serial	Agnostic	Guardant Reveal	Multi-omic	Commercial	72	22	50	29	43	20	2	41	9	0.9090909091	0.6896551724	0.18	0.9534883721	0.8472222222	Minimal Residual Disease Detection using a Plasma-only Circulating Tumor DNA Assay in Patients with Colorectal Cancer.
Pedersen et al., 2023	35822405	Serial	Agnostic	methylation	Single-omic	Academic	142	19	123	33	109	9	10	99	24	0.4736842105	0.2727272727	0.1951219512	0.9082568807	0.7605633803	Detection of methylated BCAT1  and IKZF1  after curative‐intent treatment as a prognostic indicator for colorectal cancer recurrence
Reinert et al., 2016	25654990	Serial	Informed	WGS → ddPCR	Genome-wide	Academic	11	6	5	6	5	6	0	5	0	1	1	0	1	1	Analysis of circulating tumour DNA to monitor disease burden following colorectal cancer surgery
Reinert et al., 2019	31070691	Landmark	Informed	Signatera	Genome-wide	Commercial	94	10	84	17	77	7	3	74	10	0.7	0.4117647059	0.119047619	0.961038961	0.8617021277	Analysis of Plasma Cell-Free DNA by Ultradeep Sequencing in Patients With Stages I to III Colorectal Cancer
Reinert et al., 2019	31070691	Serial	Informed	Signatera	Genome-wide	Commercial	75	15	60	16	59	14	1	58	2	0.9333333333	0.875	0.03333333333	0.9830508475	0.96	Analysis of Plasma Cell-Free DNA by Ultradeep Sequencing in Patients With Stages I to III Colorectal Cancer
Ryoo et al., 2023	37280413	Landmark	Informed	AlphaLiquid Detect (WES → personalised panel)	Genome-wide	Commercial	98	21	77	22	76	14	7	69	8	0.6666666667	0.6363636364	0.1038961039	0.9078947368	0.8469387755	Personalised circulating tumour DNA assay with large-scale mutation coverage for sensitive minimal residual disease detection in colorectal cancer
Schøler et al., 2017 	28600478	Serial	Informed	WES → ddPCR	Genome-wide	Academic	26	14	12	14	12	14	0	12	0	1	1	0	1	1	Clinical Implications of Monitoring Circulating Tumor DNA in Patients with Colorectal Cancer
Slater et al., 2024	38864835	Landmark	Agnostic	Guardant Reveal	Multi-omic	Commercial	116	14	102	16	100	7	7	93	9	0.5	0.4375	0.08823529412	0.93	0.8620689655	Tissue-Free Liquid Biopsies Combining Genomic and Methylation Signals for Minimal Residual Disease Detection in Patients with Early Colorectal Cancer from the UK TRACC Part B Study
Slater et al., 2024	38864835	Serial	Agnostic	Guardant Reveal	Multi-omic	Commercial	164	37	127	29	135	18	19	116	11	0.4864864865	0.6206896552	0.08661417323	0.8592592593	0.8170731707	Tissue-Free Liquid Biopsies Combining Genomic and Methylation Signals for Minimal Residual Disease Detection in Patients with Early Colorectal Cancer from the UK TRACC Part B Study
Taieb et al., 2021	34083233	Serial	Agnostic	methylation	Single-omic	Academic	1017	140	877	195	822	44	96	726	151	0.3142857143	0.2256410256	0.1721778791	0.8832116788	0.7571288102	Prognostic Value and Relation with Adjuvant Treatment Duration of ctDNA in Stage III Colon Cancer: a Post Hoc Analysis of the PRODIGE-GERCOR IDEA-France Trial.
Tarazona et al., 2019 	31562764	Landmark	Informed	29-gene panel → ddPCR	Panel	Academic	69	14	55	17	52	8	6	46	9	0.5714285714	0.4705882353	0.1636363636	0.8846153846	0.7826086957	Targeted next-generation sequencing of circulating-tumor DNA for tracking minimal residual disease in localized colon cancer
Tarazona et al., 2019 	31562764	Serial	Informed	29-gene panel → ddPCR	Panel	Academic	69	20	49	17	52	14	6	46	3	0.7	0.8235294118	0.0612244898	0.8846153846	0.8695652174	Targeted next-generation sequencing of circulating-tumor DNA for tracking minimal residual disease in localized colon cancer
Tie et al., 2016	27384348	Landmark	Informed	15-gene panel → Safe-SeqS	Panel	Academic	178	14	164	27	151	11	3	148	16	0.7857142857	0.4074074074	0.09756097561	0.9801324503	0.893258427	Circulating tumor DNA analysis detects minimal residual disease and predicts recurrence in patients with stage II colon cancer
Tie et al., 2019	31621801	Landmark	Informed	15-gene panel → Safe-SeqS	Panel	Academic	96	20	76	24	72	10	10	62	14	0.5	0.4166666667	0.1842105263	0.8611111111	0.75	Circulating Tumor DNA Analyses as Markers of Recurrence Risk and Benefit of Adjuvant Therapy for Stage III Colon Cancer
Tie et al., 2025 	40055522	Landmark	Informed	15-gene panel / WES → Safe-SeqS	Panel	Academic	291	45	246	24	267	8	37	230	16	0.1777777778	0.3333333333	0.06504065041	0.861423221	0.8178694158	Circulating tumor DNA analysis guiding adjuvant therapy in stage II colon cancer: 5-year outcomes of the randomized DYNAMIC trial
Wang et al., 2019	31070668	Serial	Informed	15-gene panel → Safe-SeqS	Panel	Academic	58	13	45	10	48	10	3	45	0	0.7692307692	1	0	0.9375	0.9482758621	Prognostic Potential of Circulating Tumor DNA Measurement in Postoperative Surveillance of Nonmetastatic Colorectal Cancer
Yang et al., 2024	38726508	Landmark	Informed	41 gene panel	Panel	Academic	71	7	64	21	50	7	0	50	14	1	0.3333333333	0.21875	1	0.8028169014	Evaluation of Molecular Residual Disease by a Fixed Panel in Resectable Colorectal Cancer
Yuan et al., 2022	36117308	Landmark	Agnostic	methylation	Single-omic	Academic	339	60	279	40	299	21	39	260	19	0.35	0.525	0.06810035842	0.8695652174	0.8289085546	Circulating Methylated SEPT9 DNA Analyses to Predict Recurrence Risk and Adjuvant Chemotherapy Benefit in Stage II to III Colorectal Cancer
Yuan et al., 2022	36117308	Serial	Agnostic	methylation	Single-omic	Academic	426	110	316	50	376	36	74	302	14	0.3272727273	0.72	0.04430379747	0.8031914894	0.79342723	Circulating Methylated SEPT9 DNA Analyses to Predict Recurrence Risk and Adjuvant Chemotherapy Benefit in Stage II to III Colorectal Cancer